0000000000000000,empty
1111223322332233,solid shadows
1111111111111111,solid no shadows
0000000000001111,flat
0000000001100230,small square shadows
0000000001100110,small square no shadows
0000001010110110,grass
1111223355665566,alternate colour bottom half
0000000011112233,half block
1111223300000000,inverted half block
0111022311132233,stairs north
0111023322332233,stairs east
1110223122332233,stairs south
1110233021112233,stairs west
1111223322330223,stairs north (inverted)
1111223302330233,stairs east (inverted)
1111223322302230,stairs south (inverted)
1111223322332330,stairs west (inverted)
0000000000000110,small flat
1111556655665566,alternate colour sides
1111553355335533,alternate colour left side
1111226622662266,alternate colour right side
1111000000000000,inverted flat
0000000000001441,flat with alternate colour
0000011002300230,fence
0040401014144111,fire
0000110022001100,ladder facing north
3300110033000000,ladder facing east
0011002200110000,ladder facing south
0000003300110033,ladder facing west
0022002200220000,vines north
0000003300330033,vines east
0000220022002200,vines south
3300330033000000,vines west
0022003300330033,vines north + east
0000223322332233,vines east + south
3300220022002200,vines south + west
3322332233220000,vines west + north
0011111111111100,vines north + south
3300333333330033,vines east + west
0022223322332233,vines north + east + south
3300223322332233,vines east + south + west
3322222222222200,vines south + west + north
3322333333330033,vines west + north + east
3322223322332233,vines north + east + south + west
0110023002300230,rod upright
0000001111000000,rod north-south
0000110000110000,rod east-west
